"Year";"Site";"Country";"Vehicle";"Family";"Remarks";"Success"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1961";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1961";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"failure";"False"
"1961";"CC LC-26B";"USA";"Juno-2";"";"";"True"
"1961";"CC LC-26B";"USA";"Juno-2";"";"failure";"False"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1961";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"partial failure";"False"
"1961";"WI LA-3";"USA";"Scout-X1";"";"failure";"False"
"1961";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"CC LC-17A";"USA";"Delta";"";"";"True"
"1961";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1961";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1961";"CC LC-17A";"USA";"Delta";"";"";"True"
"1961";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"partial failure";"False"
"1961";"WI LA-3";"USA";"Scout-X1";"";"partial failure";"False"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"failure";"False"
"1961";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1961";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1961";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1961";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1961";"CC LC-18B";"USA";"Blue Scout-2";"";"failure";"False"
"1961";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"";"True"
"1961";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"partial failure";"False"
"1961";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"failure";"False"
"1961";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1961";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"failure";"False"
"1961";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1961";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1961";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"failure";"False"
"1962";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"failure";"False"
"1962";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"CC LC-17A";"USA";"Delta";"";"";"True"
"1962";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-17A";"USA";"Delta";"";"";"True"
"1962";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1962";"Va LC-D";"USA";"Scout-X2";"";"failure";"False"
"1962";"CC LC-17A";"USA";"Delta";"";"";"True"
"1962";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-17B";"USA";"Thor-DM21 Able-Star";"";"failure";"False"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va LC-D";"USA";"Scout-X2M";"";"failure";"False"
"1962";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"failure";"False"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-17A";"USA";"Delta";"";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"CC LC-17B";"USA";"Delta";"";"";"True"
"1962";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"failure";"False"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1962";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"Va LC-D";"USA";"Scout-X2M";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1962";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"CC LC-17A";"USA";"Delta";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1962";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"CC LC-17B";"USA";"Delta-A";"";"";"True"
"1962";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1962";"CC LC-12";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1962";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1962";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"CC LC-17B";"USA";"Delta-A";"";"";"True"
"1962";"CC LC-17A";"USA";"Thor-DM21 Able-Star";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"partial failure";"False"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va LC-1-1";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1962";"Va 75-3-4";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1962";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"partial failure";"False"
"1962";"CC LC-17A";"USA";"Delta-B";"";"";"True"
"1962";"Va 75-3-5";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1962";"WI LA-3";"USA";"Scout-X3";"";"";"True"
"1962";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"failure";"False"
"1962";"Va LC-D";"USA";"Scout-X3";"";"";"True"
"1962";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (E6)";"R-7";"partial failure";"False"
"1963";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (E6)";"R-7";"failure";"False"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"Va LC-D";"USA";"Scout-X3M";"";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-SLV2A Agena-D";"";"failure";"False"
"1963";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"failure";"False"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Molniya (E6)";"R-7";"";"True"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"Va LC-D";"USA";"Scout-X3";"";"failure";"False"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"Va LC-D";"USA";"Scout-X2M";"";"failure";"False"
"1963";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"failure";"False"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1963";"CC LC-14";"USA";"Atlas-D Mercury";"Atlas";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1963";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"failure";"False"
"1963";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1963";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"partial failure";"False"
"1963";"Va LC-D";"USA";"Scout-X3";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"Va 75-1-2";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"WI LA-3";"USA";"Scout-X4";"";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-SLV2A Agena-B";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"pre-launch failure";"False"
"1963";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1963";"Va 75-1-1";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1963";"Va LC-1-2";"USA";"Atlas-LV3 Agena-B";"Atlas";"";"True"
"1963";"CC LC-17A";"USA";"Delta-B";"";"";"True"
"1963";"Va 75-1-2";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1963";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"Va 75-3-5";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1963";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1963";"Va 75-1-2";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"Va LC-D";"USA";"Scout-X2B";"";"failure";"False"
"1963";"Va 75-1-1";"USA";"Thor-DSV2A Able-Star";"";"";"True"
"1963";"CC LC-13";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"failure";"False"
"1963";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1963";"Va 75-3-4";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1963";"Ba LC-31/6";"USSR/Russia";"11A59 I1";"";"";"True"
"1963";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"failure";"False"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Molniya";"R-7";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Voskhod";"R-7";"";"True"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"CC LC-36A";"USA";"Atlas-LV3C Centaur-B";"Atlas";"";"True"
"1963";"Va LC-1-1";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"failure";"False"
"1963";"Va 75-1-1";"USA";"Thor-DSV2A Able-Star";"";"";"True"
"1963";"KY Mayak-2";"USSR/Russia";"Kosmos";"Kosmos";"";"True"
"1963";"Va LC-2-3";"USA";"Atlas-LV3 Agena-D";"Atlas";"";"True"
"1963";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-2";"R-7";"";"True"
"1963";"Va LC-D";"USA";"Scout-X4";"";"";"True"
"1963";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1963";"Va 75-1-2";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Va 75-3-5";"USA";"Thor-SLV2A Agena-D";"";"";"True"
"1964";"Va 75-1-2";"USA";"Thor-DM21 Agena-D";"";"";"True"
"1964";"CC LC-17B";"USA";"Delta-B";"";"";"True"
"1964";"Va 75-1-1";"USA";"Thor-DM21 Agena-B";"";"";"True"
"1964";"CC LC-37B";"USA";"Saturn-1 (Block-2)";"";"";"True"
"1964";"Ba Ba LC-1/5";"USSR/Russia";"Vostok-K";"R-7";"";"True"
